waypoint1	waypoint2	distance_m	duration_s
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Toltec Mounds, Scott, AR	612075	20722
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Statue of Liberty, Liberty Island, NYC, NY	1278590	44808
Columbia River Gorge National Scenic Area, Oregon	Graceland, Elvis Presley Boulevard, Memphis, TN	3466308	113250
Hanford Site, Benton County, WA	Glacier National Park, West Glacier, MT	683123	24518
Terrace Hill, Grand Avenue, Des Moines, IA	Statue of Liberty, Liberty Island, NYC, NY	1787020	59265
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Maryland State House, 100 State Cir, Annapolis, MD 21401	1793552	60464
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Maryland State House, 100 State Cir, Annapolis, MD 21401	533335	19226
Maryland State House, 100 State Cir, Annapolis, MD 21401	Craters of the Moon National Monument & Preserve, Arco, ID	3647102	118417
Fort Snelling, Tower Avenue, Saint Paul, MN	Maryland State House, 100 State Cir, Annapolis, MD 21401	1817199	61000
San Andreas Fault, San Benito County, CA	Glacier National Park, West Glacier, MT	2190913	74629
West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1761665	61861
Wright Brothers National Memorial Visitor Center, Manteo, NC	Liberty Bell, 6th Street, Philadelphia, PA	582053	22694
USS Constitution, Boston, MA	The Alamo, Alamo Plaza, San Antonio, TX	3289321	107317
New Castle Historic District, Delaware	Hoover Dam, NV	3985237	129861
Glacier National Park, West Glacier, MT	Liberty Bell, 6th Street, Philadelphia, PA	3685900	123039
Toltec Mounds, Scott, AR	Fort Sumter National Monument, Sullivan's Island, SC	1309908	43605
French Quarter, New Orleans, LA	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2293165	74943
Hoover Dam, NV	Graceland, Elvis Presley Boulevard, Memphis, TN	2504838	78852
Maryland State House, 100 State Cir, Annapolis, MD 21401	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1104375	36217
San Andreas Fault, San Benito County, CA	Congress Hall, Congress Place, Cape May, NJ 08204	4814991	156790
Yellowstone National Park, WY 82190	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2134234	74166
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Craters of the Moon National Monument & Preserve, Arco, ID	2302132	74284
Congress Hall, Congress Place, Cape May, NJ 08204	Lost World Caverns, Lewisburg, WV	719625	25525
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2011410	65788
French Quarter, New Orleans, LA	The Alamo, Alamo Plaza, San Antonio, TX	875710	28417
Yellowstone National Park, WY 82190	Terrace Hill, Grand Avenue, Des Moines, IA	1736070	60297
Olympia Entertainment, Woodward Avenue, Detroit, MI	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1575138	53029
Olympia Entertainment, Woodward Avenue, Detroit, MI	Congress Hall, Congress Place, Cape May, NJ 08204	1092600	36709
Gateway Arch, Washington Avenue, St Louis, MO	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	154978	5370
Gateway Arch, Washington Avenue, St Louis, MO	Craters of the Moon National Monument & Preserve, Arco, ID	2386034	77357
Glacier National Park, West Glacier, MT	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4138285	140415
Olympia Entertainment, Woodward Avenue, Detroit, MI	Taliesin, County Road C, Spring Green, Wisconsin	755368	26070
Taliesin, County Road C, Spring Green, Wisconsin	Wright Brothers National Memorial Visitor Center, Manteo, NC	1869857	64793
Fort Sumter National Monument, Sullivan's Island, SC	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	363482	13646
USS Alabama, Battleship Parkway, Mobile, AL	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	1368815	49164
